代码,名称,上市日期,退市日期,证券类型,上市状态,所属板块,流通市值,总市值,动态市盈率
600171,上海贝岭,1998-09-24,,1,1,沪市主板,23224327406.0,23224327406.0,0.0
600172,黄河旋风,1998-11-26,,1,1,沪市主板,8142511685.0,9201136957.0,0.0
600173,卧龙新能,1999-04-15,,1,1,沪市主板,5169071881.0,5169736081.0,0.0
600175,退市美都,1999-04-08,2020-08-14,1,0,沪市主板,0.0,0.0,0.0
600176,中国巨石,1999-04-22,,1,1,沪市主板,70895551453.0,70895551453.0,0.0
600177,雅戈尔,1998-11-19,,1,1,沪市主板,34814517522.0,34814517522.0,0.0
600178,东安动力,1998-10-14,,1,1,沪市主板,6078184378.0,6078184378.0,0.0
600179,安通控股,1998-11-04,,1,1,沪市主板,19890734249.0,21792363942.0,0.0
600180,瑞茂通,1998-07-03,,1,1,沪市主板,3933591420.0,3933591420.0,0.0
600181,S*ST云大,1998-09-28,2007-06-01,1,0,沪市主板,0.0,0.0,0.0
600182,S佳通,1999-05-07,,1,1,沪市主板,2584000000.0,5168000000.0,0.0
600183,生益科技,1998-10-28,,1,1,沪市主板,169099699037.0,171544400023.0,0.0
600184,光电股份,2003-11-06,,1,1,沪市主板,10439772150.0,11957567643.0,0.0
600185,珠免集团,1999-06-11,,1,1,沪市主板,12610688769.0,12610688769.0,0.0
600186,莲花控股,1998-08-25,,1,1,沪市主板,11092657404.0,11117264274.0,0.0
600187,国中水务,1998-11-11,,1,1,沪市主板,4131279624.0,4131279624.0,0.0
600188,兖矿能源,1998-07-01,,1,1,沪市主板,84415732947.0,143034097752.0,0.0
600189,泉阳泉,1998-10-07,,1,1,沪市主板,5042144575.0,5042144575.0,0.0
600190,退市锦港,1999-06-09,2025-07-25,1,0,沪市主板,0.0,0.0,0.0
600191,华资实业,1998-12-10,,1,1,沪市主板,6061650000.0,6061650000.0,0.0
600192,长城电工,1998-12-24,,1,1,沪市主板,4616266600.0,4616266600.0,0.0
600193,*ST创兴,1999-05-27,,1,1,沪市主板,1654700970.0,1654700970.0,0.0
600195,中牧股份,1999-01-07,,1,1,沪市主板,8271300906.0,8271300906.0,0.0
600196,复星医药,1998-08-07,,1,1,沪市主板,58576216011.0,73837370836.0,0.0
600197,伊力特,1999-09-16,,1,1,沪市主板,6605519049.0,6605519049.0,0.0
600198,大唐电信,1998-10-21,,1,1,沪市主板,13839726417.0,13857305641.0,0.0
600199,金种子酒,1998-08-12,,1,1,沪市主板,6426674970.0,6426674970.0,0.0
600200,退市苏吴,1999-04-01,2025-12-31,1,0,沪市主板,206155049.0,206155049.0,0.0
600201,生物股份,1999-01-15,,1,1,沪市主板,19344412172.0,19344412172.0,0.0
600202,哈空调,1999-06-03,,1,1,沪市主板,2273210185.0,2273210185.0,0.0
600203,福日电子,1999-05-14,,1,1,沪市主板,8005339107.0,8005339107.0,0.0
600205,S山东铝,1999-06-30,2007-04-30,1,0,沪市主板,0.0,0.0,0.0
