code,name,section,next_crawl_index,market_cap
002023,海特高新,深市主板,0,893477.4434
002025,航天电器,深市主板,0,2224839.2839
002026,山东威达,深市主板,0,574848.5049
002027,分众传媒,深市主板,0,11929256.9737
002028,思源电气,深市主板,0,6255978.7229
002029,七 匹 狼,深市主板,0,560271.8175
002030,达安基因,深市主板,0,881364.1081
002031,巨轮智能,深市主板,0,1589777.9446
002032,苏 泊 尔,深市主板,0,3879381.859
002033,丽江股份,深市主板,0,487938.4007
002034,旺能环境,深市主板,0,729361.4595
002035,华帝股份,深市主板,0,485951.2246
002036,联创电子,深市主板,0,1197694.1492
002037,保利联合,深市主板,0,511948.8128
002038,双鹭药业,深市主板,0,604006.6495
002039,黔源电力,深市主板,0,738818.3681
002040,南 京 港,深市主板,0,502462.1099
002041,登海种业,深市主板,0,806960.0
002042,华孚时尚,深市主板,0,911565.2063
002043,兔 宝 宝,深市主板,0,773663.9645
002044,美年健康,深市主板,0,1921616.903
002045,国光电器,深市主板,0,927586.0882
002046,国机精工,深市主板,0,1470556.1242
002048,宁波华翔,深市主板,0,2608520.0825
002049,紫光国微,深市主板,0,7559871.8022
002050,三花智控,深市主板,0,15886803.0743
002051,中工国际,深市主板,0,1014616.9279
002052,同洲电子,深市主板,0,1172647.5507
002053,云南能投,深市主板,0,1159190.1802
002054,德美化工,深市主板,0,254456.6929
002055,得润电子,深市主板,0,458560.2931
002056,横店东磁,深市主板,0,3139561.0686
002057,中钢天源,深市主板,0,792603.0116
002059,云南旅游,深市主板,0,589827.6348
002060,广东建工,深市主板,0,595432.3855
002061,浙江交科,深市主板,0,1078642.2285
002062,宏润建设,深市主板,0,1255158.5297
002063,远光软件,深市主板,0,1092185.7583
002064,华峰化学,深市主板,0,4453718.0148
002065,东华软件,深市主板,0,3064949.418
002066,瑞泰科技,深市主板,0,354816.0
002067,景兴纸业,深市主板,0,693841.5641
002068,黑猫股份,深市主板,0,790131.2576
002069,獐子岛,深市主板,0,280535.3966
002072,凯瑞德,深市主板,0,229003.9184
