ETF代码,ETF名称,基金规模,next_crawl_index
561100,消费电子ETF富国,7.45232625,763
159532,中证2000ETF易方达,1.47171441,763
159687,亚太精选ETF南方,19.71238832,763
588420,科创创业人工智能ETF摩根,4.09023888,763
159316,港股通创新药ETF易方达,41.99985693,763
588060,科创50ETF广发,80.7988227,763
159552,中证2000增强ETF招商,8.10500704,763
159251,港股通科技ETF万家,2.25880055,763
513200,港股通医药ETF易方达,16.55192358,763
520590,恒生科技ETF鹏华,2.1593937,763
588940,科创50ETF富国,5.021013,763
588410,科创创业人工智能ETF鹏华,2.37445,763
510630,消费ETF华夏,4.71265861,763
159936,可选消费ETF,3.44168031,763
159699,恒生消费ETF,12.40691368,763
588240,科创200ETF鹏华,2.23515992,763
159887,银行ETF,15.15042395,763
159103,金融科技ETF汇添富,2.17438874,763
561120,家电ETF,0.82005459,763
561920,疫苗龙头ETF,0.41612628,763
588850,科创机械ETF嘉实,0.64675494,763
520970,港股通创新药ETF嘉实,10.7611041,763
159506,港股通医疗ETF富国,32.63922506,763
159128,港股科技ETF天弘,23.68915437,763
520870,巴西ETF易方达,5.0632391,763
159742,恒生科技ETF博时,48.88689205,763
159872,智能网联汽车ETF,0.61564517,763
561600,消费电子ETF,3.35169294,763
516800,智能制造ETF,2.330195,763
513860,港股通科技ETF海富通,42.8343993,763
159615,恒生生物科技ETF南方,5.81056491,763
159680,中证1000增强ETF招商,10.62246126,763
513770,港股互联网ETF,135.45670372,763
588820,科创200ETF华夏,5.175184,763
159210,港股通汽车ETF汇添富,0.44433547,763
513130,恒生科技ETF,481.12079798,763
159605,中概互联ETF,44.70553436,763
588090,科创50ETF华泰柏瑞,48.23714219,763
159203,大盘成长ETF博时,0.11798747,763
159751,港股通科技ETF鹏华,12.89432447,763
159786,VRETF,1.69445075,763
159137,港股通医疗ETF华宝,2.11100035,763
520620,恒生消费ETF嘉实,4.74829235,763
159792,港股通互联网ETF,841.71328463,763
563300,中证2000ETF,51.64569522,763
159892,恒生医药ETF,67.64980341,763
588870,科创50ETF汇添富,5.56956448,763
159269,港股通科技ETF南方,21.17249348,763
512720,计算机ETF,9.16973033,763
512360,MSCI中国A股ETF基金,0.55214614,763
159167,港股通医疗ETF工银,3.25911422,763
513330,恒生互联网ETF,368.31928807,763
520510,港股通医疗ETF,2.01486992,763
588270,科创200ETF易方达,7.9685445,763
159140,科创创业人工智能ETF易方达,8.61172283,763
560160,食品ETF易方达,1.80642468,763
588430,科创创业人工智能ETF工银,2.374267,763
562510,旅游ETF,6.86513361,763
159165,养殖ETF永赢,3.20356982,763
520920,恒生科技ETF天弘,149.47141658,763
159297,港股通创新药ETF南方,16.4947761,763
159151,食品ETF华夏,1.07458042,763
517330,长江保护ETF易方达,17.80259121,763
159766,旅游ETF,88.42912768,763
159323,港股通汽车ETF,1.3547052,763
513120,港股创新药ETF,256.51986643,763
159577,美国50ETF汇添富,7.17228401,763
159141,科创创业人工智能ETF永赢,11.48431781,763
159707,地产ETF,6.61478594,763
159512,汽车ETF,0.78973478,763
513380,恒生科技ETF广发,128.27347194,763
510810,上海国企ETF汇添富,55.57368074,763
588370,科创50增强ETF南方,1.0326204,763
520530,港股通科技ETF东财,1.80461216,763
159776,港股医药ETF银华,1.27119675,763
159797,医疗器械ETF汇添富,3.30216646,763
520830,沙特ETF,12.95134439,763
588130,科创医药ETF华夏,0.54882121,763
520600,港股汽车ETF,5.38778632,763
159567,港股创新药ETF,78.93396558,763
560590,中证1000增强ETF鹏华,0.3072789,763
159253,银行ETF博时,1.07095821,763
512800,银行ETF,119.7360382,763
159335,央企科创ETF融通,2.58660924,763
589150,科创50ETF平安,1.00538427,763
159965,央视50ETF国联,0.52797281,763
516630,云计算ETF华夏,6.07181168,763
588780,科创芯片设计ETF,8.84662428,763
159531,中证2000ETF,9.45186593,763
159380,A500ETF东财,2.49071942,763
515720,金融科技ETF富国,3.96592738,763
517550,沪港深消费龙头ETF招商,0.76536728,763
512700,银行ETF南方,11.52267456,763
515020,银行ETF华夏,8.47931465,763
588840,科创50ETF万家,0.71197668,763
588080,科创50ETF易方达,435.6244224,763
159873,医疗设备ETF,2.66952,763
588050,科创50ETF工银,102.51754429,763
512820,银行ETF汇添富,8.40023599,763
588720,科创50ETF中银,1.99283122,763
159623,成渝经济圈ETF博时,32.55393477,763
159976,湾创ETF工银,2.26118096,763
159779,消费电子50ETF,2.1523721,763
520700,港股通创新药ETF万家,8.75825448,763
517880,品牌消费ETF,0.36376648,763
517390,云计算ETF天弘,3.53455701,763
520780,港股通汽车ETF华宝,0.603519,763
512730,银行ETF鹏华,1.33399904,763
159125,港股通科技ETF招商,6.4466789,763
159219,深证100ETF融通,0.50403468,763
515920,智能消费ETF博时,1.04290612,763
