代码,名称,所属板块,流通市值,总市值,数据状态,动态市盈率,filter,next_crawl_index,质押股数
600486,扬农化工,沪市主板,31026328627.00,31128982502.00,基础数据已获取,0.00,False,0,0.00
600488,津药药业,沪市主板,4651437257.00,4651437257.00,基础数据已获取,0.00,False,0,0.00
600489,中金黄金,沪市主板,145419376920.00,145419376920.00,基础数据已获取,0.00,False,0,0.00
600493,凤竹纺织,沪市主板,2097120000.00,2097120000.00,基础数据已获取,0.00,False,0,0.00
600495,晋西车轴,沪市主板,5992626795.00,5992626795.00,基础数据已获取,0.00,False,0,0.00
600498,烽火通信,沪市主板,53179209290.00,56798564097.00,基础数据已获取,0.00,False,0,0.00
600500,中化国际,沪市主板,15967963048.00,15968929989.00,基础数据已获取,0.00,False,0,0.00
600501,航天晨光,沪市主板,12548083786.00,12548083786.00,基础数据已获取,0.00,False,0,0.00
600502,安徽建工,沪市主板,8239362902.00,8239362902.00,基础数据已获取,0.00,False,0,0.00
600505,西昌电力,沪市主板,5089362300.00,5089362300.00,基础数据已获取,0.00,False,0,0.00
600506,统一股份,沪市主板,5148027621.00,5148027621.00,基础数据已获取,0.00,False,0,0.00
600508,上海能源,沪市主板,8976157560.00,8976157560.00,基础数据已获取,0.00,False,0,0.00
600510,黑牡丹,沪市主板,9804241842.00,9804241842.00,基础数据已获取,0.00,False,0,0.00
600511,国药股份,沪市主板,16279451794.00,22197478201.00,基础数据已获取,0.00,False,0,38.97
600512,腾达建设,沪市主板,4063757217.00,4080156106.00,基础数据已获取,0.00,False,0,0.00
600513,联环药业,沪市主板,5723398214.00,5723398214.00,基础数据已获取,0.00,False,0,0.00
600517,国网英大,沪市主板,39628759706.00,39628759706.00,基础数据已获取,0.00,False,0,0.00
600519,贵州茅台,沪市主板,1674285277455.00,1674285277455.00,基础数据已获取,0.00,False,0,8.56
600522,中天科技,沪市主板,67542273613.00,67542273613.00,基础数据已获取,0.00,False,0,0.00
600527,江南高纤,沪市主板,3983050075.00,3983050075.00,基础数据已获取,0.00,False,0,0.00
600528,中铁工业,沪市主板,18994266077.00,18994266077.00,基础数据已获取,0.00,False,0,0.00
600535,天士力,沪市主板,22782737576.00,22782737576.00,基础数据已获取,0.00,False,0,0.00
600536,中国软件,沪市主板,42106865719.00,46605288407.00,基础数据已获取,0.00,False,0,0.00
600540,新赛股份,沪市主板,2784795638.00,2784795638.00,基础数据已获取,0.00,False,0,0.00
600543,莫高股份,沪市主板,1868918400.00,1868918400.00,基础数据已获取,0.00,False,0,0.00
600548,深高速,沪市主板,15361256808.00,22739190898.00,基础数据已获取,0.00,False,0,0.00
600549,厦门钨业,沪市主板,92567728049.00,94572487655.00,基础数据已获取,0.00,False,0,0.00
600551,时代出版,沪市主板,5926202789.00,5926202789.00,基础数据已获取,0.00,False,0,0.00
600552,凯盛科技,沪市主板,14433593340.00,14433593340.00,基础数据已获取,0.00,False,0,0.00
600556,天下秀,沪市主板,14136586560.00,14136586560.00,基础数据已获取,0.00,False,0,0.00
600558,大西洋,沪市主板,5924191885.00,5924191885.00,基础数据已获取,0.00,False,0,0.00
600559,老白干酒,沪市主板,14488485443.00,14571926783.00,基础数据已获取,0.00,False,0,0.00
600560,金自天正,沪市主板,3949579530.00,3949579530.00,基础数据已获取,0.00,False,0,0.00
600561,江西长运,沪市主板,1994182368.00,1994182368.00,基础数据已获取,0.00,False,0,0.00
600562,国睿科技,沪市主板,40062333918.00,40062333918.00,基础数据已获取,0.00,False,0,0.00
600563,法拉电子,沪市主板,26451000000.00,26451000000.00,基础数据已获取,0.00,False,0,0.00
600566,济川药业,沪市主板,24838239438.00,24922362233.00,基础数据已获取,0.00,False,0,0.00
600570,恒生电子,沪市主板,61938080659.00,61938080659.00,基础数据已获取,0.00,False,0,58.50
600571,信雅达,沪市主板,7745158815.00,7890105788.00,基础数据已获取,0.00,False,0,25.00
