ETF代码,ETF名称,市场价格,IOPV,折溢价率,净值时间,计算时间,timestamp
516160,新能源ETF,2.71,2.7084,-0.06,2025-09-25 10:59:18+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
513350,标普油气ETF,0.997,0.996,-0.1,2025-09-25 10:59:20+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159550,互联网ETF沪港深,1.233,1.2347,0.14,2025-09-25 10:59:21+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
588360,科创创业ETF,1.004,1.0054,0.14,2025-09-25 10:59:10+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159958,创业板ETF工银,1.949,1.9506,0.08,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159808,创100ETF融通,1.241,1.2398,-0.1,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
513890,恒生科技HKETF,1.306,1.3051,-0.07,2025-09-25 10:59:19+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
515860,科技ETF嘉实,1.787,1.7902,0.18,2025-09-25 10:59:18+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159964,创业板ETF平安,2.1,2.1026,0.12,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159389,数字经济ETF嘉实,1.507,1.5048,-0.15,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159909,TMT50ETF,1.085,1.0861,0.1,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
513380,恒生科技ETF龙头,0.786,0.7847,-0.17,2025-09-25 10:59:19+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
520670,港股通科技ETF嘉实,1.158,1.1605,0.22,2025-09-25 10:59:18+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
560560,碳中和ETF泰康,0.734,0.7344,0.05,2025-09-25 10:59:14+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159966,创业板价值ETF,0.611,0.6116,0.1,2025-09-25 10:59:12+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159952,创业板ETF广发,1.96,1.9615,0.08,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
513260,恒生科技ETF基金,1.655,1.6536,-0.08,2025-09-25 10:59:20+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159618,光伏ETF指数基金,0.74,0.7403,0.04,2025-09-25 10:59:21+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159540,信创ETF易方达,1.726,1.7269,0.05,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159944,材料ETF,1.233,1.2358,0.23,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
513580,恒生科技ETF指数基金,0.86,0.8557,-0.5,2025-09-25 10:59:20+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159723,科技龙头ETF,1.175,1.1755,0.04,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
